"questions","keys","datadic","value","valuelabels"
"PreparatoryActionstowardimminentSuicidalbehaviorPresent","KSADS_892","Diagnosis_KSADS","1=Yes",""
"InterruptedAttemptPresent","KSADS_893","Diagnosis_KSADS","1=Yes",""
"AbortedAttemptPresent","KSADS_894","Diagnosis_KSADS","1=Yes",""
"SuicideAttemptPresent","KSADS_895","Diagnosis_KSADS","1=Yes",""
"NosuicidalideationorbehaviorPresent","KSADS_896","Diagnosis_KSADS","1=Yes",""
"SelfInjuriousBehaviorwithoutsuicidalintentPast","KSADS_897","Diagnosis_KSADS","1=Yes",""
"SuicidalideationPassivePast","KSADS_898","Diagnosis_KSADS","1=Yes",""
"SuicidalideationActivenonspecificPast","KSADS_899","Diagnosis_KSADS","1=Yes",""
"SuicidalideationActivemethodPast","KSADS_900","Diagnosis_KSADS","1=Yes",""
"SuicidalideationActiveintentPast","KSADS_901","Diagnosis_KSADS","1=Yes",""
"SuicidalideationActiveplanPast","KSADS_902","Diagnosis_KSADS","1=Yes",""
"PreparatoryActionstowardimminentSuicidalbehaviorPast","KSADS_903","Diagnosis_KSADS","1=Yes",""
"InterruptedAttemptPast","KSADS_904","Diagnosis_KSADS","1=Yes",""
"AbortedAttemptPast","KSADS_905","Diagnosis_KSADS","1=Yes",""
"SuicideAttemptPast","KSADS_906","Diagnosis_KSADS","1=Yes",""
"NopastsuicidalideationorbehaviorPast","KSADS_907","Diagnosis_KSADS","1=Yes",""
"Self injurious behavior, Present","KSADS_908","Diagnosis_KSADS","1=Yes",""
"Self injurious behavio, Past","KSADS_909","Diagnosis_KSADS","1=Yes",""
"Wishes/Better off dead, Present","KSADS_910","Diagnosis_KSADS","1=Yes",""
"Wishes/Better off dead, Past","KSADS_911","Diagnosis_KSADS","1=Yes",""
"Suicidal Ideation, Present","KSADS_912","Diagnosis_KSADS","1=Yes",""
"Suicidal Ideation, Past","KSADS_913","Diagnosis_KSADS","1=Yes",""
"Suicidal Attempt, Present","KSADS_914","Diagnosis_KSADS","1=Yes",""
"Suicidal Attempt, Past","KSADS_915","Diagnosis_KSADS","1=Yes",""
"Self-injury, intent to die, Present","KSADS_916","Diagnosis_KSADS","1=Yes",""
"Self-Injury, thought could die from behavior, Present","KSADS_917","Diagnosis_KSADS","1=Yes",""
"Suicidal ideation thought of method, Present","KSADS_918","Diagnosis_KSADS","1=Yes",""
"Suicidal ideation, intent to act, Present","KSADS_919","Diagnosis_KSADS","1=Yes",""
"Suicidal ideation, specific plan, Present","KSADS_920","Diagnosis_KSADS","1=Yes",""
"Suicidal behavior, made preparations, Present","KSADS_921","Diagnosis_KSADS","1=Yes",""
"Aborted or interrupted suicide attempts, Present","KSADS_922","Diagnosis_KSADS","1=Yes",""
"Method of actual suicide attempt, Present","KSADS_923","Diagnosis_KSADS","1=Yes",""
"Suicide attempt, thought could die, Present","KSADS_924","Diagnosis_KSADS","1=Yes",""
"Self-injury, intent to die, Past","KSADS_925","Diagnosis_KSADS","1=Yes",""
"Self-Injury, thought could die from behavior, Past","KSADS_926","Diagnosis_KSADS","1=Yes",""
"Suicidal ideation thought of method, Past","KSADS_927","Diagnosis_KSADS","1=Yes",""
"Suicidal ideation, intent to act, Past","KSADS_928","Diagnosis_KSADS","1=Yes",""
"Suicidal ideation, specific plan, Past","KSADS_929","Diagnosis_KSADS","1=Yes",""
"Suicidal behavior, made preparations, Past","KSADS_930","Diagnosis_KSADS","1=Yes",""
"Aborted or interrupted suicide attempts, Past","KSADS_931","Diagnosis_KSADS","1=Yes",""
"Number of suicide attempts, Past","KSADS_932","Diagnosis_KSADS","1=Yes",""
"Suicide attempt, method, Past","KSADS_933","Diagnosis_KSADS","1=Yes",""
"Expect could die from suicide attempt, past","KSADS_934","Diagnosis_KSADS","1=Yes",""
"HOMICIDAL IDEATION AND BEHAVIOR, Present","KSADS_935","Diagnosis_KSADS","1=Yes",""
"HOMICIDAL IDEATION AND BEHAVIOR, Past","KSADS_936","Diagnosis_KSADS","1=Yes",""
"Homicidal Ideation, Present","KSADS_937","Diagnosis_KSADS","1=Yes",""
"Homicidal Ideation, Past","KSADS_938","Diagnosis_KSADS","1=Yes",""
"Homicide Planning, Present","KSADS_939","Diagnosis_KSADS","1=Yes",""
"Homicide Planning, Past","KSADS_940","Diagnosis_KSADS","1=Yes",""
"Selective Mutism (F94.0) PRESENT","KSADS_941","Diagnosis_KSADS","1=Yes",""
"Selective Mutism (F94.0) PAST","KSADS_942","Diagnosis_KSADS","1=Yes",""
"Other Specified Anxiety Disorder (Selective Mutism, , does not meet minimum duration) F41.8","KSADS_943","Diagnosis_KSADS","1=Yes",""
"Other Specified Anxiety Disorder (Selective Mutism, does not meet minimum duration), PAST ,F41.8","KSADS_944","Diagnosis_KSADS","1=Yes",""
"Failure to speak in social situations, Present","KSADS_945","Diagnosis_KSADS","1=Yes",""
"Failure to speak in social situations, Past","KSADS_946","Diagnosis_KSADS","1=Yes",""
"Reasons for mutism not due to inability to speak language, Present","KSADS_947","Diagnosis_KSADS","1=Yes",""
"Reasons for mutism not due to inability to speak language, Past","KSADS_948","Diagnosis_KSADS","1=Yes",""
"Impairment in functioning due to selective mutism, Present","KSADS_949","Diagnosis_KSADS","1=Yes",""
"Impairment in functioning due to selective mutism, Past","KSADS_950","Diagnosis_KSADS","1=Yes",""
"Duration at least month for selective mutism, Present","KSADS_951","Diagnosis_KSADS","1=Yes",""
"Duration at least month for selective mutism, Past","KSADS_952","Diagnosis_KSADS","1=Yes",""
"Forward Length","DS_f_length","DigitSpan","",""
"Backwards Length","DS_b_length","DigitSpan","",""
"Forward Raw Score","DS_f_raw","DigitSpan","",""
"Backwards Raw Score","DS_b_raw","DigitSpan","",""
"Scores","","DigitSpan","",""
"Total Raw Score","DS_total_raw","DigitSpan","",""
"Scaled Score","DS_total_scaled","DigitSpan","",""
"Part 1","","Dishion_Teacher","",""
"1. What proportion of the child's peers (male and female) like and accept him/her?","dishion_01","Dishion_Teacher","1-5","1 = very few, less than 25%,2 = some, around 25%,3 = about half, 50%,4 = most, around 75%,5 = almost all, more than 75%"
"2. What proportion of the child's peers dislike or reject him/her?","dishion_02","Dishion_Teacher","1-5","1 = very few, less than 25%,2 = some, around 25%,3 = about half, 50%,4 = most, around 75%,5 = almost all, more than 75%"
"3. What proportion of the child's peers ignore him/her, or are simply neutral about him/her?","dishion_03","Dishion_Teacher","1-5","1 = very few, less than 25%,2 = some, around 25%,3 = about half, 50%,4 = most, around 75%,5 = almost all, more than 75%"
"Part 2","","Dishion_Teacher","",""
"1. The student says supportive things to peers.","dishion_part2_01","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"2. When this student is mad at a peer, she gets even by ,excluding the peer from her clique or play group.","dishion_part2_02","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"3. This student hits, shoves, or pushes peers.","dishion_part2_03","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"4. This student tries to cheer up peers when they are sad or upset about something.","dishion_part2_04","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"5. This student spreads rumors or gossips about some peers","dishion_part2_05","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"6. This student initiates or gets into physical fights with peers.","dishion_part2_06","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"7. When angry at a peer, this student tries to get other students,to stop playing with the peer or to stop liking the peer.","dishion_part2_07","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"8. This student is helpful to peers.","dishion_part2_08","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"9. This student threatens to hit of to beat up other students.","dishion_part2_09","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"10. This student tries to get others to dislike certain peers by,telling lies about the peers to others.","dishion_part2_10","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"11. When mad at a peer, this student ignores the peer or stops talking to the peer.","dishion_part2_11","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"12. This student tries to dominate or bully peers.","dishion_part2_12","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"13. This student threatens to stop being a peer's friend in order to,hurt the peer or to get what she wants from the peer.","dishion_part2_13","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"14. This student is kind to peers.","dishion_part2_14","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"15. This student tries to exclude certain peers from peer group,activities.","dishion_part2_15","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"16. This student is well liked by peers of the same sex.","dishion_part2_16","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"17. This student is well liked by peers of the opposite sex.","dishion_part2_17","Dishion_Teacher","1-5","1 = Never true,2,3,4,5 = Almost always true"
"Participant opted out of drug screen","drug_opt_out","DrugScreen","0-2","0= No, 1= Yes, 2= Participant dropped out of HBN study"
"Amphetamines","AMP500","DrugScreen","0-1","0= Negative, 1= Positive"
"Barbiturates","BAR300","DrugScreen","0-1","0= Negative, 1= Positive"
"Bupenorphine","BUP10","DrugScreen","0-1","0= Negative, 1= Positive"
"Benzodiazepines","BZO300","DrugScreen","0-1","0= Negative, 1= Positive"
"Cocaine","COC150","DrugScreen","0-1","0= Negative, 1= Positive"
"Methamphetamine","MAMP500","DrugScreen","0-1","0= Negative, 1= Positive"
"MDMA","MDMA500","DrugScreen","0-1","0= Negative, 1= Positive"
"Methadone","MTD300","DrugScreen","0-1","0= Negative, 1= Positive"
"Opiates","OPI300","DrugScreen","0-1","0= Negative, 1= Positive"
"Oxycodone","OXY100","DrugScreen","0-1","0= Negative, 1= Positive"
"PCP","PCP25","DrugScreen","0-1","0= Negative, 1= Positive"
"Propoxyphene","PPX300","DrugScreen","0-1","0= Negative, 1= Positive"
"Tricyclic anti-depressants","TCA1000","DrugScreen","0-1","0= Negative, 1= Positive"
"THC (Marijuana)","THC50","DrugScreen","0-1","0= Negative, 1= Positive"
"If the participant screened positive for any of the above, was it prescribed by a doctor?","perscribed","DrugScreen","0-1","0= No, 1= Yes"
"1. Feeling distressed or upset is unbearable to me.","DTS_01","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"2. When I feel distressed or upset, all I can think about is  how bad I feel","DTS_02","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"3. I can’t handle feeling distressed or upset.   ","DTS_03","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"4. My feelings of distress are so intense that they completely take over","DTS_04","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"5. There’s nothing worse than feeling distressed or upset","DTS_05","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"6. I can tolerate being distressed or upset as well as most  people","DTS_06","DTS","1-5","5=Strongly Agree, 2=Mildly Agree, 3=Agree and Disagree Equally, 4=Mildly Disagree, 5=Strongly Disagree"
"7. My feelings of distress or being upset are not   acceptable","DTS_07","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"8. I’ll do anything to avoid feeling distressed or upset.   ","DTS_08","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"9. Other people seem to be able to tolerate feeling distressed or upset better than I am","DTS_09","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"10. Being distressed or upset is always a major ordeal for me","DTS_10","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"11. I am ashamed of myself when I feel distressed or   upset","DTS_11","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"12. My feelings of distress or being upset scare me.","DTS_12","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"13. I’ll do anything to stop feeling distressed or upset. ","DTS_13","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"14. When I feel distressed or upset, I must do something about  it immediately","DTS_14","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"15. When I feel distressed or upset, I cannot help but  concentrate on how bad the distress actually feels.","DTS_15","DTS","1-5","1=Strongly Disagree, 2=Mildly Disagree, 3=Agree and Disagree Equally, 4=Mildly Agree, 5=Strongly Agree"
"Scores","","DTS","",""
"Absorption subscale","DTS_absorption","DTS","",""
"Appraisal subscale","DTS_appraisal","DTS","",""
"Regulation subscale","DTS_regulation","DTS","",""
"Tolerance subscale","DTS_tolerance","DTS","",""
"DTS Total Score","DTS_total","DTS","",""
"Does participant qualify for EEG?","qualify_eeg","EEG_Track","0-1","0 = No, 1 = Yes"
"If no, reason:","DNQ_reason","EEG_Track","",""
"Willing to participate in EEG?","attempt","EEG_Track","0-1","0 = No, 1 = Yes"
"If no, reason:","no_attempt_reason","EEG_Track","",""
"High impedance electrodes (>40 K Ohms) Start:","high_impedance","EEG_Track","",""
"High impedance electrodes (>40 K Ohms) Break:","impedance_break","EEG_Track","",""
"Net Size (cm)","net_size","EEG_Track","",""
"Head Circumference (cm)","head","EEG_Track","",""
"Nasion-Inion (cm)","nasion_inion","EEG_Track","",""
"Ear-Ear (cm)","ear_ear","EEG_Track","",""
"Resting State Completed?","EEG_1","EEG_Track","0-1","0 = No, 1 = Yes"
"Resting State Notes","EEG_1_notes","EEG_Track","",""
"Resting State Program Crashed (Skipped)","EEG1_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"Resting State Abbreviated Protocol","EEG1_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"Resting State Participant Unwilling","EEG1_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"Explicit Sequence Learning Paradigm Completed?","EEG_2","EEG_Track","0-1","0 = No, 1 = Yes"
"Explicit Sequence Learning Paradigm Notes","EEG_2_notes","EEG_Track","",""
"Explicit Sequence Learning Paradigm Program Crashed (Skipped)","EEG2_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"Explicit Sequence Learning Paradigm Abbreviated Protocol","EEG2_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"Explicit Sequence Learning Paradigm Participant Unwilling","EEG2_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"WISC Processing Speed Completed?","EEG_3","EEG_Track","0-1","0 = No, 1 = Yes"
"WISC Processing Speed Notes","EEG_3_notes","EEG_Track","",""
"WISC Processing Speed Program Crashed (Skipped)","EEG3_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"WISC Processing Speed Abbreviated Protocol","EEG3_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"WISC Processing Speed Participant Unwilling","EEG3_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"Surround Supression 1 Completed?","EEG_4","EEG_Track","0-1","0 = No, 1 = Yes"
"Surround Supression 1 Notes","EEG_4_notes","EEG_Track","",""
"Surround Supression 1 Program Crashed (Skipped)","EEG4_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"Surround Supression 1 Abbreviated Protocol","EEG4_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"Surround Supression 1 Participant Unwilling","EEG4_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 1 Completed?","EEG_5","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 1 Notes","EEG_5_notes","EEG_Track","",""
"Contrast Change Detection 1 Program Crashed (Skipped)","EEG5_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 1 Abbreviated Protocol","EEG5_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 1 Participant Unwilling","EEG5_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 1 Completed?","EEG_6","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 1 Notes","EEG_6_notes","EEG_Track","",""
"Video 1 Program Crashed (Skipped)","EEG6_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 1 Abbreviated Protocol","EEG6_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 1 Participant Unwilling","EEG6_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 2 Completed?","EEG_7","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 2 Notes","EEG_7_notes","EEG_Track","",""
"Contrast Change Detection 2 Program Crashed (Skipped)","EEG7_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 2 Abbreviated Protocol","EEG7_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 2 Participant Unwilling","EEG7_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 2 Completed?","EEG_8","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 2 Notes","EEG_8_notes","EEG_Track","",""
"Video 2 Program Crashed (Skipped)","EEG8_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 2 Abbreviated Protocol","EEG8_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 2 Participant Unwilling","EEG8_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 3 Completed?","EEG_9","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 3 Notes","EEG_9_notes","EEG_Track","",""
"Contrast Change Detection 3 Program Crashed (Skipped)","EEG9_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 3 Abbreviated Protocol","EEG9_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"Contrast Change Detection 3 Participant Unwilling","EEG9_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 3 Completed?","EEG_10","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 3 Notes","EEG_10_notes","EEG_Track","",""
"Video 3 Program Crashed (Skipped)","EEG10_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 3 Abbreviated Protocol","EEG10_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"Video 3 Participant Unwilling","EEG10_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"Surround Supression 3 Completed?","EEG_11","EEG_Track","0-1","0 = No, 1 = Yes"
"Surround Supression 3 Notes","EEG_11_notes","EEG_Track","",""
"Surround Supression 3 Program Crashed (Skipped)","EEG11_crash","EEG_Track","0-1","0 = No, 1 = Yes"
"Surround Supression 3 Abbreviated Protocol","EEG11_abb","EEG_Track","0-1","0 = No, 1 = Yes"
"Surround Supression 3 Participant Unwilling","EEG11_behav","EEG_Track","0-1","0 = No, 1 = Yes"
"Writing","EHQ_01","EHQ","(-)1, -0.5, 0, 0.5, 1","-1=Left hand, -0.5=Left hand, sometimes other hand, 0=No preference, 0.5=Right hand, sometimes uses other hand, 1=Right hand"
"Drawing","EHQ_02","EHQ","(-)1, -0.5, 0, 0.5, 1","-1=Left hand, -0.5=Left hand, sometimes other hand, 0=No preference, 0.5=Right hand, sometimes uses other hand, 1=Right hand"
"Throwing","EHQ_03","EHQ","(-)1, -0.5, 0, 0.5, 1","-1=Left hand, -0.5=Left hand, sometimes other hand, 0=No preference, 0.5=Right hand, sometimes uses other hand, 1=Right hand"
"Using Scissors","EHQ_04","EHQ","(-)1, -0.5, 0, 0.5, 1","-1=Left hand, -0.5=Left hand, sometimes other hand, 0=No preference, 0.5=Right hand, sometimes uses other hand, 1=Right hand"
"Using a Toothbrush","EHQ_05","EHQ","(-)1, -0.5, 0, 0.5, 1","-1=Left hand, -0.5=Left hand, sometimes other hand, 0=No preference, 0.5=Right hand, sometimes uses other hand, 1=Right hand"
"Using a Knife (without a fork)","EHQ_06","EHQ","(-)1, -0.5, 0, 0.5, 1","-1=Left hand, -0.5=Left hand, sometimes other hand, 0=No preference, 0.5=Right hand, sometimes uses other hand, 1=Right hand"
"Using a Spoon","EHQ_07","EHQ","(-)1, -0.5, 0, 0.5, 1","-1=Left hand, -0.5=Left hand, sometimes other hand, 0=No preference, 0.5=Right hand, sometimes uses other hand, 1=Right hand"
"Using a Broom (upper hand)","EHQ_08","EHQ","(-)1, -0.5, 0, 0.5, 1","-1=Left hand, -0.5=Left hand, sometimes other hand, 0=No preference, 0.5=Right hand, sometimes uses other hand, 1=Right hand"
"Striking a Match","EHQ_09","EHQ","(-)1, -0.5, 0, 0.5, 1","-1=Left hand, -0.5=Left hand, sometimes other hand, 0=No preference, 0.5=Right hand, sometimes uses other hand, 1=Right hand"
"Opening a Box (holding the lid)","EHQ_10","EHQ","(-)1, -0.5, 0, 0.5, 1","-1=Left hand, -0.5=Left hand, sometimes other hand, 0=No preference, 0.5=Right hand, sometimes uses other hand, 1=Right hand"
"Holding a Computer Mouse","EHQ_11","EHQ","(-)1, -0.67, 0, 0.67, 1","-1=Left hand, -0.67=Left hand, sometimes other hand, 0=No preference, 0.67=Right hand, sometimes uses other hand, 1=Right hand"
"Using a Key to Unlock a Door","EHQ_12","EHQ","(-)1, -0.67, 0, 0.67, 1","-1=Left hand, -0.67=Left hand, sometimes other hand, 0=No preference, 0.67=Right hand, sometimes uses other hand, 1=Right hand"
"Holding a Hammer","EHQ_13","EHQ","(-)1, -0.67, 0, 0.67, 1","-1=Left hand, -0.67=Left hand, sometimes other hand, 0=No preference, 0.67=Right hand, sometimes uses other hand, 1=Right hand"
"Holding a Brush or Comb","EHQ_14","EHQ","(-)1, -0.67, 0, 0.67, 1","-1=Left hand, -0.67=Left hand, sometimes other hand, 0=No preference, 0.67=Right hand, sometimes uses other hand, 1=Right hand"
"Holding a Cup While Drinking","EHQ_15","EHQ","(-)1, -0.67, 0, 0.67, 1","-1=Left hand, -0.67=Left hand, sometimes other hand, 0=No preference, 0.67=Right hand, sometimes uses other hand, 1=Right hand"
"Scores","","EHQ","",""
"Laterality Index (Score)","EHQ_Total","EHQ","(-)100-100","LI=-100"
"1a. Have you ever heard of marijuana (grass, pot) or hashish (has, hash oil)?","ESPAD_01a","ESPAD","0-1","0=no, 1=yes"
"1b. Have you ever used marijuana (grass, pot) or hashish (hash, hash oil)?","ESPAD_01b","ESPAD","0-1","0=no, 1=yes"
"2a. Have you ever sniffed a substance (glue, aerosols, etc.) to get high?","ESPAD_02a","ESPAD","0-1","0=no, 1=yes"
"3a. Have you ever used tranquillizers or sedatives (without a doctor's prescription) (e.g. benzodiazepines such as valium or xanax;barbiturates, barbs or downers such as amytal, or seconal)?","ESPAD_03a","ESPAD","0-1","0=no, 1=yes"
"4a. Have you ever used amphetamines (speed), methamphetamine (crystal meth), or desoxyn?","ESPAD_04a","ESPAD","0-1","0=no, 1=yes"
"5a. Have you ever used LSD (acid)?","ESPAD_05a","ESPAD","0-1","0=no, 1=yes"
"6a. Have you ever used magic mushrooms or other hallucinogens (excluding LSD)?","ESPAD_06a","ESPAD","0-1","0=no, 1=yes"
"7a. Have you ever used crack?","ESPAD_07a","ESPAD","0-1","0=no, 1=yes"
"8a. Have you ever used cocaine?","ESPAD_08a","ESPAD","0-1","0=no, 1=yes"
"9a. Have you ever used relevin?","ESPAD_09a","ESPAD","0-1","0=no, 1=yes"
"10a. Have you ever used heroin?","ESPAD_10a","ESPAD","0-1","0=no, 1=yes"
"11a. Have you ever used narcotics (e.g. opium, morphine, codeine)?","ESPAD_11a","ESPAD","0-1","0=no, 1=yes"
"12a. Have you ever used ecstasy (MDMA)?","ESPAD_12a","ESPAD","0-1","0=no, 1=yes"
"13a. Have you ever used ketamine (Ket, K) or Phencyclidine (PCP, or angel dust)?","ESPAD_13a","ESPAD","0-1","0=no, 1=yes"
"14a. Have you ever used GHB or liquid ecstasy?","ESPAD_14a","ESPAD","0-1","0=no, 1=yes"
"15a. Have you ever used anabolic steroids?","ESPAD_15a","ESPAD","0-1","0=no, 1=yes"
"1c. On how many occasions IN YOUR WHOLE LIFETIME have you used marijuana (grass, pot) or hashish (hash, hash oil)?","ESPAD_01c","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"1d. On how many occasions OVER THE LAST 12 MONTHS have you used marijuana (grass, pot) or hashish (hash, hash oil)?","ESPAD_01d","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"1e. On how many occasions OVER THE LAST 30 DAYS have you used marijuana (grass, pot) or hashish (hash, hash oil)?","ESPAD_01e","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"1f. On how many occasions OVER THE LAST WEEK have you used marijuana (grass, pot) or hashish (hash, hash oil)?","ESPAD_01f","ESPAD","1-6","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more"
"1g. Please indicate if you have used marijuana (grass, pot) or hashish (hash, hash oil) on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?","ESPAD_01g","ESPAD","0-1","0=no, 1=yes"
"1h. Do you abuse more than one drug at a time when you use marijuana / hashish?","ESPAD_01h","ESPAD","0-1","0=no, 1=yes"
"1i. Can you get through the week without using marijuana / hashish (unless you require it for medical reasons)?","ESPAD_01i","ESPAD","0-1","0=no, 1=yes"
"1j. Are you always able to stop using marijuana / hashish when you want?","ESPAD_01j","ESPAD","0-1","0=no, 1=yes"
"1k. Have you had 'blackouts' or 'flashbacks' as a result of marijuana / hashish use?","ESPAD_01k","ESPAD","0-1","0=no, 1=yes"
"1l. Do you ever feel bad about your marijuana / hashish abuse?","ESPAD_01l","ESPAD","0-1","0=no, 1=yes"
"1m. Does your spouse (or parents) ever complain about your involvement with marijuana/ hashish?","ESPAD_01m","ESPAD","0-1","0=no, 1=yes"
"1n. Has marijuana / hashish abuse ever created problems between you and your spouse?","ESPAD_01n","ESPAD","0-1","0=no, 1=yes"
"1o. Have you ever lost friends because of your use of marijuana / hashish?","ESPAD_01o","ESPAD","0-1","0=no, 1=yes"
"1p. Have you ever neglected your family or missed work because of your use of marijuana / hashish?","ESPAD_01p","ESPAD","0-1","0=no, 1=yes"
"1q. Have you ever been in trouble at work because of marijuana / hashish abuse?","ESPAD_01q","ESPAD","0-1","0=no, 1=yes"
"1r. Have you ever lost a job because of marijuana / hashish abuse?","ESPAD_01r","ESPAD","0-1","0=no, 1=yes"
"1s. Have you ever gotten into fights when under the influence of marijuana / hashish?","ESPAD_01s","ESPAD","0-1","0=no, 1=yes"
"1t. Have you engaged in illegal activities in order to obtain marijuana / hashish?","ESPAD_01t","ESPAD","0-1","0=no, 1=yes"
"1u. Have you ever been arrested for possession of marijuana / hashish?","ESPAD_01u","ESPAD","0-1","0=no, 1=yes"
"1v. Have you ever experienced withdrawal symptoms as a result of heavy marijuana / hashish intake?","ESPAD_01v","ESPAD","0-1","0=no, 1=yes"
"1w. Have you had medical problems as a result of your marijuana / hashish use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","ESPAD_01w","ESPAD","0-1","0=no, 1=yes"
"1x. Have you ever gone to anyone for help for a marijuana / hashish problem?","ESPAD_01x","ESPAD","0-1","0=no, 1=yes"
